# Control-plane events: parsed2.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 1511.403218 s, 44 transfers, span 646.022 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     72.0 |      0 | bRequest=0x00 len=2 -> 03 00
     0.232 |     0.160 |    128.0 |      0 | bRequest=0x01 wValue=0x0001
     0.612 |     0.252 |    204.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     1.017 |     0.201 |    201.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     1.371 |     0.153 |    198.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     1.727 |     0.158 |    198.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     2.162 |     0.237 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     2.562 |     0.202 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     2.921 |     0.162 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     3.318 |     0.199 |    199.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     3.727 |     0.210 |    198.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     4.298 |     0.373 |    128.0 |      0 | bRequest=0x03 wValue=0x0001
   148.002 |   143.576 |     75.0 |      0 | bRequest=0x00 len=2 -> 03 00
   148.228 |     0.151 |    112.0 |      0 | bRequest=0x01 wValue=0x0001
   148.576 |     0.236 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   148.964 |     0.186 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   149.315 |     0.153 |    200.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   149.668 |     0.153 |    201.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   150.090 |     0.221 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   150.552 |     0.264 |    212.0 |      0 | bRequest=0x03 wValue=0x0008 wIndex=0x0001
   352.051 |   201.287 |    207.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   352.431 |     0.173 |    174.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   352.735 |     0.130 |    212.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
   353.052 |     0.105 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   384.008 |    30.758 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   416.010 |    31.805 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   448.013 |    31.805 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   480.019 |    31.808 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   480.457 |     0.240 |    213.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   495.854 |    15.184 |    200.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   496.179 |     0.125 |    173.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   552.080 |    55.728 |     72.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   552.260 |     0.108 |    215.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   567.842 |    15.367 |    200.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   568.209 |     0.167 |    170.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   628.035 |    59.656 |     22.0 |      0 | SET_ADDRESS wValue=0x0031
   644.019 |    15.962 |     94.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
