# Control-plane events: parsed_x86_3.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 10072.960721 s, 44 transfers, span 633.504 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     72.0 |      0 | bRequest=0x00 len=2 -> 03 00
     0.247 |     0.175 |    128.0 |      0 | bRequest=0x01 wValue=0x0001
     0.630 |     0.255 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     1.104 |     0.276 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     1.561 |     0.259 |    198.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     2.013 |     0.254 |    202.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     2.536 |     0.321 |    200.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     3.067 |     0.331 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     3.416 |     0.151 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     3.731 |     0.117 |    199.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     4.057 |     0.127 |    206.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     4.573 |     0.310 |    128.0 |      0 | bRequest=0x03 wValue=0x0001
   139.879 |   135.178 |     71.0 |      0 | bRequest=0x00 len=2 -> 03 00
   140.044 |     0.094 |    112.0 |      0 | bRequest=0x01 wValue=0x0001
   140.427 |     0.271 |    200.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   140.797 |     0.170 |    199.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   141.252 |     0.256 |    202.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   141.624 |     0.170 |    205.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   142.085 |     0.256 |    203.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   142.709 |     0.421 |    218.0 |      0 | bRequest=0x03 wValue=0x0008 wIndex=0x0001
   344.067 |   201.140 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   344.443 |     0.179 |    191.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   344.822 |     0.188 |    212.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
   345.226 |     0.192 |    203.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   376.017 |    30.588 |    205.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   408.021 |    31.799 |    204.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   439.994 |    31.769 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   472.022 |    31.830 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   472.481 |     0.261 |    213.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   488.002 |    15.308 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   488.390 |     0.191 |    173.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   544.059 |    55.496 |     91.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   544.196 |     0.046 |    212.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   559.977 |    15.569 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   560.346 |     0.171 |    175.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   616.028 |    55.507 |     22.0 |      0 | SET_ADDRESS wValue=0x002b
   632.005 |    15.955 |     73.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
