# Control-plane events: parsed_x86_4.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 10192.231986 s, 46 transfers, span 649.539 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     80.0 |      0 | bRequest=0x00 len=2 -> 03 00
     0.251 |     0.171 |    128.0 |      0 | bRequest=0x01 wValue=0x0001
     0.516 |     0.137 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     0.984 |     0.270 |    201.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     1.445 |     0.260 |    198.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     1.906 |     0.263 |    202.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     2.432 |     0.324 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     2.960 |     0.330 |    204.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     3.425 |     0.261 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     3.737 |     0.114 |    198.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     4.084 |     0.149 |    204.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     4.608 |     0.320 |    133.0 |      0 | bRequest=0x03 wValue=0x0001
   144.044 |   139.303 |     72.0 |      0 | bRequest=0x00 len=2 -> 03 00
   144.293 |     0.177 |    128.0 |      0 | bRequest=0x01 wValue=0x0001
   144.687 |     0.266 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   145.156 |     0.272 |    197.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   145.612 |     0.259 |    198.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   146.072 |     0.262 |    198.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   146.615 |     0.345 |    205.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   147.255 |     0.435 |    212.0 |      0 | bRequest=0x03 wValue=0x0008 wIndex=0x0001
   347.904 |   200.437 |    203.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   348.450 |     0.343 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   357.586 |     8.938 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   357.971 |     0.188 |    192.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   358.353 |     0.190 |    213.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
   358.677 |     0.111 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   391.992 |    33.113 |    201.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   423.986 |    31.793 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   456.038 |    31.850 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   487.996 |    31.756 |    204.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   488.462 |     0.262 |    213.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   503.993 |    15.318 |    201.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   504.380 |     0.186 |    170.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   560.082 |    55.532 |     91.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   560.220 |     0.047 |    212.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   575.980 |    15.548 |    207.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   576.359 |     0.172 |    174.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
