# Control-plane events: parsed_x86_2.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 9951.877456 s, 44 transfers, span 633.694 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     71.0 |      0 | bRequest=0x00 len=2 -> 03 00
     0.227 |     0.156 |    129.0 |      0 | bRequest=0x01 wValue=0x0001
     0.613 |     0.257 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     1.073 |     0.258 |    199.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     1.527 |     0.255 |    205.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     1.995 |     0.263 |    198.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     2.530 |     0.337 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     3.059 |     0.327 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
     3.403 |     0.146 |    204.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
     3.762 |     0.155 |    198.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
     4.112 |     0.152 |    199.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
     4.662 |     0.351 |    128.0 |      0 | bRequest=0x03 wValue=0x0001
   140.190 |   135.400 |     72.0 |      0 | bRequest=0x00 len=2 -> 03 00
   140.442 |     0.180 |    129.0 |      0 | bRequest=0x01 wValue=0x0001
   140.833 |     0.262 |    200.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   141.299 |     0.266 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   141.755 |     0.258 |    197.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   142.206 |     0.254 |    202.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   142.753 |     0.345 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 00 00 00
   143.385 |     0.434 |    213.0 |      0 | bRequest=0x03 wValue=0x0008 wIndex=0x0001
   344.254 |   200.656 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   344.640 |     0.189 |    173.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   345.006 |     0.193 |    213.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
   345.418 |     0.199 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   376.171 |    30.556 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   408.175 |    31.806 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   440.176 |    31.804 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   472.173 |    31.800 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   472.634 |     0.263 |    213.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   488.178 |    15.331 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   488.558 |     0.182 |    171.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   544.156 |    55.427 |     92.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   544.297 |     0.049 |    212.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   559.992 |    15.483 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   560.365 |     0.175 |    172.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   616.216 |    55.679 |     22.0 |      0 | SET_ADDRESS wValue=0x0024
   632.185 |    15.947 |     73.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   632.410 |     0.152 |     74.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=9 -> 09 02 49 00 02 01 00 c0 00
   632.553 |     0.069 |    206.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
   632.836 |     0.077 |     70.0 |      0 | GET_DESCRIPTOR wValue=0x0300 len=255 -> 04 03 09 04
   632.958 |     0.052 |     92.0 |      0 | GET_DESCRIPTOR wValue=0x0302 wIndex=0x0409 len=255 -> 1e 03 4a 00 6f 00 63 00 6b 00 65 00 79 00 20 00 33 00 20 00 52 00 65 00 6d 00 69 00 78 00
   633.098 |     0.048 |     71.0 |      0 | GET_DESCRIPTOR wValue=0x0301 wIndex=0x0409 len=255 -> 0e 03 72 00 65 00 6c 00 6f 00 6f 00 70 00
   633.215 |     0.046 |    112.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   633.670 |     0.343 |     24.0 |      0 | SET_CONFIGURATION wValue=0x0001

================================================================================================
EVENT 2  [init+rate]  at 9952.765659 s, 57 transfers, span 785.597 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     39.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
     0.665 |     0.626 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
     2.381 |     1.692 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
     3.014 |     0.609 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
     3.548 |     0.510 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
     3.882 |     0.310 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
     4.491 |     0.585 |     34.0 |      0 | GET_STATUS len=1 -> 32
     4.634 |     0.109 |     35.0 |      0 | GET_STATUS len=1 -> 32
     4.780 |     0.111 |    213.0 |      0 | SET_STATUS wValue=0x0032
     5.053 |     0.060 |     30.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
     5.585 |     0.502 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
     6.637 |     1.029 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
     7.039 |     0.378 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
     7.460 |     0.398 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
     7.927 |     0.444 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
     8.363 |     0.413 |     49.0 |      0 | GET_STATUS len=1 -> 32
     8.458 |     0.046 |    156.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
    23.915 |    15.301 |      0.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3
    78.380 |    54.465 |    196.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 01 00
   189.961 |   111.385 |    203.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 01 00
   190.357 |     0.193 |    171.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   190.714 |     0.186 |    213.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
   195.144 |     4.217 |    194.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   224.053 |    28.715 |    204.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   256.014 |    31.757 |    204.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   288.012 |    31.794 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   320.020 |    31.810 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   320.408 |     0.186 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   320.856 |     0.250 |    200.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   321.308 |     0.252 |    199.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   321.763 |     0.256 |    199.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   322.401 |     0.439 |    129.0 |      0 | bRequest=0x03 wValue=0x0001
   519.837 |   197.307 |     72.0 |      0 | bRequest=0x00 len=2 -> 03 00
   520.014 |     0.105 |    113.0 |      0 | bRequest=0x01 wValue=0x0001
   520.330 |     0.203 |    199.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   520.712 |     0.183 |    171.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   521.007 |     0.124 |    199.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   521.393 |     0.187 |    199.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   521.690 |     0.098 |    197.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   624.054 |   102.167 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   624.436 |     0.184 |    213.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
   624.916 |     0.267 |    213.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   640.031 |    14.902 |    197.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   640.414 |     0.186 |    170.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   696.065 |    55.481 |     91.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   696.204 |     0.048 |    212.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   711.842 |    15.426 |    201.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   712.206 |     0.163 |    170.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   768.071 |    55.695 |     22.0 |      0 | SET_ADDRESS wValue=0x0025
   784.040 |    15.947 |     73.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   784.264 |     0.151 |     71.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=9 -> 09 02 49 00 02 01 00 c0 00
   784.405 |     0.070 |    225.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
   784.709 |     0.079 |     70.0 |      0 | GET_DESCRIPTOR wValue=0x0300 len=255 -> 04 03 09 04
   784.823 |     0.044 |     92.0 |      0 | GET_DESCRIPTOR wValue=0x0302 wIndex=0x0409 len=255 -> 1e 03 4a 00 6f 00 63 00 6b 00 65 00 79 00 20 00 33 00 20 00 52 00 65 00 6d 00 69 00 78 00
   784.963 |     0.048 |     70.0 |      0 | GET_DESCRIPTOR wValue=0x0301 wIndex=0x0409 len=255 -> 0e 03 72 00 65 00 6c 00 6f 00 6f 00 70 00
   785.083 |     0.050 |    113.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   785.573 |     0.377 |     24.0 |      0 | SET_CONFIGURATION wValue=0x0001

================================================================================================
EVENT 3  [init+rate]  at 9953.805720 s, 25 transfers, span 76.497 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     36.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
     0.652 |     0.616 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
     2.360 |     1.684 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
     3.027 |     0.643 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
     3.556 |     0.505 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
     3.889 |     0.309 |     28.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
     4.502 |     0.585 |     30.0 |      0 | GET_STATUS len=1 -> 12
     4.645 |     0.113 |     34.0 |      0 | GET_STATUS len=1 -> 12
     4.783 |     0.104 |    218.0 |      0 | SET_STATUS wValue=0x0032
     5.063 |     0.062 |     31.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
     5.596 |     0.502 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
     6.597 |     0.977 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
     6.996 |     0.375 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
     7.399 |     0.379 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
     7.752 |     0.329 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
     9.256 |     1.480 |     49.0 |      0 | GET_STATUS len=1 -> 32
     9.379 |     0.074 |    155.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
    23.898 |    14.364 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    24.044 |     0.094 |     52.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
    24.204 |     0.108 |     48.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    24.359 |     0.107 |     47.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
    24.512 |     0.106 |     57.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    24.679 |     0.110 |    121.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    76.174 |    51.374 |     29.0 |      0 | GET_STATUS len=1 -> 32
    76.284 |     0.081 |    213.0 |      0 | SET_STATUS wValue=0x0032

